kind,objective,mode,n,wavelengths_nm,coverage,power
envelope_0.42,envelope,ideal,6,460 504 520 544 600 640,0.877817,2.405479
envelope_0.55,envelope,ideal,6,460 504 520 544 600 640,0.877817,2.405479
envelope_0.80,envelope,ideal,6,440 486 504 518 544 640,0.930302,3.216963
envelope_0.95,envelope,ideal,6,420 486 504 518 544 640,0.936606,4.552954
envelope_0.42,envelope,ideal,7,460 486 511 522 546 613 640,0.899694,2.297427
envelope_0.55,envelope,ideal,7,460 486 511 522 546 613 640,0.899694,2.297427
envelope_0.80,envelope,ideal,7,440 486 511 522 546 613 640,0.920103,2.537129
envelope_0.95,envelope,ideal,7,420 480 498 510 522 546 640,0.949430,4.304675
envelope_0.42,envelope,ideal,8,460 486 514 525 544 560 600 620,0.856996,1.976204
envelope_0.55,envelope,ideal,8,460 486 504 514 525 544 600 620,0.887600,2.061775
envelope_0.80,envelope,ideal,8,440 486 504 514 525 548 620 660,0.955054,3.152762
envelope_0.95,envelope,ideal,8,420 474 493 514 525 548 640 690,0.957074,4.025280
envelope_0.42,envelope,ideal,9,460 486 504 519 532 560 600 620 640,0.916768,2.190840
envelope_0.55,envelope,ideal,9,460 480 504 518 532 560 580 613 640,0.911212,2.222218
envelope_0.80,envelope,ideal,9,440 486 501 518 532 553 613 640 699,0.956478,2.566006
envelope_0.95,envelope,ideal,9,420 460 490 504 518 532 553 640 699,0.969764,3.567724
envelope_0.42,envelope,ideal,10,460 486 511 521 535 555 600 613 620 640,0.905107,2.120715
envelope_0.55,envelope,ideal,10,460 474 497 511 518 535 555 600 613 640,0.921251,2.275455
envelope_0.80,envelope,ideal,10,440 480 496 511 518 535 555 613 640 699,0.966014,2.523699
envelope_0.95,envelope,ideal,10,420 447 480 496 511 521 535 555 640 699,0.974523,3.001080
envelope_0.42,envelope,ideal,11,440 460 486 511 520 538 557 600 620 640 660,0.942045,2.450496
envelope_0.55,envelope,ideal,11,440 486 502 511 524 538 560 600 620 640 660,0.959939,2.514497
envelope_0.80,envelope,ideal,11,420 447 486 502 511 520 538 568 620 640 660,0.968821,2.666794
envelope_0.95,envelope,ideal,11,420 460 485 494 504 511 520 538 557 620 680,0.982169,4.859309
envelope_0.42,envelope,ideal,12,440 460 486 511 519 527 544 580 600 620 640 660,0.943435,2.534935
envelope_0.55,envelope,ideal,12,440 471 486 504 518 527 544 568 600 620 640 660,0.960463,2.539418
envelope_0.80,envelope,ideal,12,420 447 486 501 511 518 527 540 568 620 640 660,0.972808,2.633631
envelope_0.95,envelope,ideal,12,420 447 471 485 494 507 518 527 540 568 620 680,0.981021,4.369674
max_area,gamut,real,3,380 520 700,0.671609,546.405762
max_area,gamut,real,4,380 503 532 700,0.803060,509.996319
max_area,gamut,real,5,380 494 514 540 700,0.851938,417.172649
max_area,gamut,real,6,380 487 505 520 540 700,0.879397,341.750427
max_area,gamut,real,7,380 480 495 505 520 540 700,0.891183,298.230943
max_area,gamut,real,8,380 480 495 505 520 540 580 700,0.898361,10.818753
max_area,gamut,real,9,380 480 495 505 516 527 540 580 700,0.903404,10.818753
max_area,gamut,real,10,380 473 488 497 505 516 527 540 580 700,0.906817,9.338514
max_area,gamut,real,11,380 473 488 497 505 513 520 529 540 580 700,0.909380,9.338514
max_area,gamut,real,12,380 466 480 491 498 505 513 520 529 540 580 700,0.911489,8.581349
white_0.42,white,real,3,450 527 629,0.616504,4.394950
white_0.55,white,real,3,450 527 630,0.618203,4.402677
white_0.68,white,real,3,450 527 630,0.618203,4.402677
white_0.80,white,real,3,450 527 630,0.618203,4.402677
white_0.88,white,real,3,450 527 640,0.632918,4.773179
white_0.95,white,real,3,445 520 650,0.661070,7.320553
white_0.42,white,real,4,450 503 528 629,0.755372,4.399026
